id.exposure	id.outcome	outcome	exposure	pt	outliers_removed	n_outliers	RSSobs	pval
HxV1QN	V87X6K	covidhgi2020anaB2v4	Allen2020ipf	5e-8	TRUE	4	22.526043464879987	0.0489
g6EwCN	lzQNC5	covidhgi2020anaC2v4	Allen2020ipf	5e-8	TRUE	4	9.868730836063808	0.6267
SgV3DT	UrEogJ	covidhgi2020anaA2v4	Linner2019risk	5e-8	TRUE	0	NA	NA
VrR8cK	5kaSZJ	covidhgi2020anaB1v4	Linner2019risk	5e-8	TRUE	0	NA	NA
ynsjMy	EeLLDy	covidhgi2020anaB2v4	Linner2019risk	5e-8	TRUE	0	NA	NA
krRO9y	ZI2QlN	covidhgi2020anaC2v4	Linner2019risk	5e-8	TRUE	0	NA	NA
oJbVG5	mmb1zy	covidhgi2020anaA2v4	Demontis2018adhd	5e-8	TRUE	0	NA	NA
kctxBu	2aC2vn	covidhgi2020anaB1v4	Demontis2018adhd	5e-8	TRUE	0	NA	NA
nZDF8s	2tCs0a	covidhgi2020anaB2v4	Demontis2018adhd	5e-8	TRUE	0	NA	NA
hlF395	D5N37W	covidhgi2020anaC2v4	Demontis2018adhd	5e-8	TRUE	0	NA	NA
mMCf0r	tTl7wh	covidhgi2020anaA2v4	Grove2019asd	5e-6	TRUE	0	NA	NA
wckKJx	mTH79O	covidhgi2020anaB1v4	Grove2019asd	5e-6	TRUE	0	NA	NA
WJg1ma	qqjAwe	covidhgi2020anaB2v4	Grove2019asd	5e-6	TRUE	0	NA	NA
ZOwWq7	eu6vFS	covidhgi2020anaC2v4	Grove2019asd	5e-6	TRUE	0	NA	NA
lZ8JSe	9psrHb	covidhgi2020anaA2v4	Ripke2014scz	5e-8	TRUE	0	NA	NA
LPgHCe	KTDfJZ	covidhgi2020anaB1v4	Ripke2014scz	5e-8	TRUE	0	NA	NA
fyHLpJ	51kThr	covidhgi2020anaB2v4	Ripke2014scz	5e-8	TRUE	0	NA	NA
guPDk6	7yNMOS	covidhgi2020anaC2v4	Ripke2014scz	5e-8	TRUE	0	NA	NA
dQGg46	ucltER	covidhgi2020anaA2v4	Stahl2019bip	5e-6	TRUE	0	NA	NA
18mtZS	70RIIx	covidhgi2020anaB1v4	Stahl2019bip	5e-6	TRUE	0	NA	NA
wThmk7	PBupwi	covidhgi2020anaB2v4	Stahl2019bip	5e-6	TRUE	0	NA	NA
YpeQuh	mOiHlX	covidhgi2020anaC2v4	Stahl2019bip	5e-6	TRUE	0	NA	NA
xgB0kQ	WdRFhr	covidhgi2020anaA2v4	Astel2016rbc	5e-8	TRUE	1	199.77692105087556	0.0847
N0OISu	Tfewc7	covidhgi2020anaB1v4	Astel2016rbc	5e-8	TRUE	0	NA	NA
VKxeJz	uVuHMe	covidhgi2020anaB2v4	Astel2016rbc	5e-8	TRUE	2	168.21574393723003	0.6109
qgkVjz	3dzv6r	covidhgi2020anaC2v4	Astel2016rbc	5e-8	TRUE	0	NA	NA
m1Ey8F	lYtRFn	covidhgi2020anaA2v4	Astel2016wbc	5e-8	TRUE	0	NA	NA
8QtW76	WkGsbj	covidhgi2020anaB1v4	Astel2016wbc	5e-8	TRUE	0	NA	NA
2Yy4Ka	OJWuDq	covidhgi2020anaB2v4	Astel2016wbc	5e-8	TRUE	0	NA	NA
kj1YiM	svyPjo	covidhgi2020anaC2v4	Astel2016wbc	5e-8	TRUE	0	NA	NA
tGsEoB	BB7ZGB	covidhgi2020anaA2v4	Astel2016plt	5e-8	TRUE	0	NA	NA
s1Kfvx	XQSXQS	covidhgi2020anaB1v4	Astel2016plt	5e-8	TRUE	0	NA	NA
IfQP4W	LyXgXH	covidhgi2020anaB2v4	Astel2016plt	5e-8	TRUE	0	NA	NA
JGp0l8	PT0iqf	covidhgi2020anaC2v4	Astel2016plt	5e-8	TRUE	0	NA	NA
l6mvjs	6cAw9O	covidhgi2020anaA2v4	Barban2016afb	5e-8	TRUE	0	NA	NA
LfDH6R	dFLD0b	covidhgi2020anaB1v4	Barban2016afb	5e-8	TRUE	0	NA	NA
uyMyTP	1dvJCU	covidhgi2020anaB2v4	Barban2016afb	5e-8	TRUE	0	NA	NA
sMM1aD	yAhFy9	covidhgi2020anaC2v4	Barban2016afb	5e-8	TRUE	0	NA	NA
