annot_name	trait1	trait2	rho	rho_corrected	se_rho	pvalue	pvalue_corrected	corr	corr_corrected	h2_1	h2_2	p	p0
ALL_	Lee2018educ	covidhgi2020A2v5alleurLeaveUKBB	-0.00388857601231	-0.00471985041112	5.47992086543e-4	1.28378527995e-12	7.11792485989e-18	-0.217760243261	-0.264311606724	0.113418064499	0.00281152382346	1039187	1039187
ALL_	Lee2018educ	covidhgi2020B2v5alleurLeaveUKBB	-0.00268630212124	-0.00331681782969	4.69184258126e-4	1.03145536656e-8	1.55684771308e-12	-0.179594172773	-0.221747639498	0.113283315756	0.00197496441803	1034500	1034500
ALL_	Lee2018educ	covidhgi2020C2v5alleurLeaveUKBB	-0.0015454559421	-0.00195188774184	4.97567055707e-4	0.00189620389793	8.75026583626e-5	-0.0962837868016	-0.12160498276	0.114028855427	0.00225939502004	1053578	1053578
ALL_	Howard2018dep	covidhgi2020A2v5alleur	0.00135755496521	3.65444847474e-5	4.57742949206e-4	0.00301937647605	0.936367485668	0.115108801873	0.00309865306536	0.0640900795638	0.00217023601955	1038913	1038913
ALL_	Howard2018dep	covidhgi2020B2v5alleur	0.00183811115958	0.00114375021292	3.8566512791e-4	1.87843958114e-6	0.00302037834157	0.186926050656	0.11631326491	0.0640467485111	0.00150975611098	1036457	1036457
ALL_	Howard2018dep	covidhgi2020C2v5alleur	3.66554288239e-4	-5.31804483705e-4	3.9247898266e-4	0.350331601156	0.175421240731	0.0303773018962	-0.0440720129859	0.0641693464434	0.00226908413049	1055989	1055989
ALL_	Howard2018dep	covidhgi2020A2v5alleurLeaveUKBB	0.00122816649393	-1.01652405107e-4	5.12350962823e-4	0.016524532652	0.842729103118	0.0918027316778	-0.0075982926717	0.0640678887681	0.00279359129494	1037901	1037901
ALL_	Howard2018dep	covidhgi2020B2v5alleurLeaveUKBB	0.0010916333458	2.30453557957e-4	4.47073528021e-4	0.0146170287792	0.606223742887	0.0973324902889	0.0205477588041	0.0639994190747	0.00196544947839	1033271	1033271
ALL_	Howard2018dep	covidhgi2020C2v5alleurLeaveUKBB	-7.87001180423e-4	-0.00142711168467	4.55642348496e-4	0.0841255585878	0.00173568163856	-0.0652412695867	-0.118305512706	0.0641169832815	0.00226951406975	1051115	1051115
ALL_	Jansen2018insom	covidhgi2020A2v5alleur	0.00137899532181	5.46605505052e-4	3.73987268682e-4	2.26664989932e-4	0.143861329205	0.13595992996	0.053891731906	0.047679751072	0.00215759408072	1003915	1003915
