id.exposure	id.outcome	outcome	exposure	pt	outliers_removed	Isq	egger_intercept	se	pval
lFydVn	4kkYdX	covidhgi2020A2v6alleur	Ripke2014scz	5e-8	FALSE	0.21854386498491918	-0.004781956445546517	0.011854697152261034	0.6877861227449122
UlK4O9	Z5vyIo	covidhgi2020B2v6alleur	Ripke2014scz	5e-8	FALSE	0.1354387863419758	6.292553924022561e-4	0.007576774341544543	0.9340268588789836
AjQVyj	efgtqA	covidhgi2020C2v6alleur	Ripke2014scz	5e-8	FALSE	0.0668395084467724	-0.0016468545842668607	0.0023412954126841782	0.48393136195717346
44NyLe	JuHlSI	covidhgi2020A2v6alleur	Stahl2019bip	5e-8	FALSE	0	-0.04093166470085141	0.04282552616454661	0.36171917246543617
JXqcgt	ejMEdY	covidhgi2020B2v6alleur	Stahl2019bip	5e-8	FALSE	0	0.006344699657807305	0.025727913889002713	0.8102004537278118
4HGPzm	IY5DDK	covidhgi2020C2v6alleur	Stahl2019bip	5e-8	FALSE	0	-0.007693922991023291	0.00912614660489568	0.41890118775424834
33qP8b	CyuiwM	covidhgi2020A2v6alleur	Astel2016rbc	5e-8	FALSE	0.9470678802302035	0.007479550221960913	0.004748041124919308	0.11703738384730929
33qP8b	CyuiwM	covidhgi2020A2v6alleur	Astel2016rbc	5e-8	TRUE	0.9461497655061819	0.005289528891152368	0.004440136444524121	0.23519691570877635
kQTvm6	frdXic	covidhgi2020B2v6alleur	Astel2016rbc	5e-8	FALSE	0.9460206998938965	0.005420335592327823	0.0029752865785297546	0.07023475826530803
kQTvm6	frdXic	covidhgi2020B2v6alleur	Astel2016rbc	5e-8	TRUE	0.9451533695708819	0.0032873128514959117	0.0024769856212218905	0.1862517354881106
Ip8d3P	PNBba1	covidhgi2020C2v6alleur	Astel2016rbc	5e-8	FALSE	0.946537482769454	9.086696357156606e-4	0.0013337006136415772	0.49659411009609467
Ip8d3P	PNBba1	covidhgi2020C2v6alleur	Astel2016rbc	5e-8	TRUE	0.9457729735329937	-5.4129553283321824e-5	8.546010573852237e-4	0.9495714348011908
30aElt	Bmca2W	covidhgi2020A2v6alleur	Astel2016wbc	5e-8	FALSE	0.912478769679359	0.014319782030236324	0.0053088875994094	0.007743967016823416
30aElt	Bmca2W	covidhgi2020A2v6alleur	Astel2016wbc	5e-8	TRUE	0.8840264363004965	0.008091004238173275	0.00523153999704915	0.12397749749051194
zDBzQI	C3Ye0f	covidhgi2020B2v6alleur	Astel2016wbc	5e-8	FALSE	0.9111878528509301	0.0086531561634459	0.0033671766734558045	0.011092499576958537
zDBzQI	C3Ye0f	covidhgi2020B2v6alleur	Astel2016wbc	5e-8	TRUE	0.9119173922603427	0.007495454910481693	0.002954588163292315	0.012159972065256356
